"Timestamp","In which State/UT do you currently live?","What is your age?","Please select your gender.","How would you describe your occupation?","How many earning members are there in your immediate family?","What is your annual household income (in rupees ₹)?","How has your overall household income changed during COVID-19?","Do you or your family have any pending loan(s)?","Did you or anyone in your family get infected by COVID-19?","Did you get vaccinated for COVID-19?","Do you have any health issue(s)? (If more than one, then please select your major health issue)","How often do you exercise or meditate?","How has COVID-19 impacted your life and future plans/goals?","During lockdown, how often do you interact (on calls/chats) with your relatives & friends?","How has your appetite changed during the lockdown?","How have your sleeping hours been affected due to the lockdown?","How satisfied are you with your state government's measures to handle COVID-19?","Please read each statement and select number 0, 1, 2 or 3 which indicates how much the statement applied to you over the past 3-4 weeks. (0 being the least; 3 being the most) [I felt scared without any good reason]","Please read each statement and select number 0, 1, 2 or 3 which indicates how much the statement applied to you over the past 3-4 weeks. (0 being the least; 3 being the most) [I felt I was close to a panic attack]","Please read each statement and select number 0, 1, 2 or 3 which indicates how much the statement applied to you over the past 3-4 weeks. (0 being the least; 3 being the most) [Experienced dryness of my mouth]","Please read each statement and select number 0, 1, 2 or 3 which indicates how much the statement applied to you over the past 3-4 weeks. (0 being the least; 3 being the most) [Experienced breathing difficulty (without any physical exertion)]","Please read each statement and select number 0, 1, 2 or 3 which indicates how much the statement applied to you over the past 3-4 weeks. (0 being the least; 3 being the most) [Experienced trembling (e.g. in the hands)]","Please read each statement and select number 0, 1, 2 or 3 which indicates how much the statement applied to you over the past 3-4 weeks. (0 being the least; 3 being the most) [Worried about situations in which I might make a fool of myself]","Please read each statement and select number 0, 1, 2 or 3 which indicates how much the statement applied to you over the past 3-4 weeks. (0 being the least; 3 being the most) [Increase in heart rate without any physical exertion]","Please read each statement and select number 0, 1, 2 or 3 which indicates how much the statement applied to you over the past 3-4 weeks. (0 being the least; 3 being the most) [I didn't experience any positive feeling at all]","Please read each statement and select number 0, 1, 2 or 3 which indicates how much the statement applied to you over the past 3-4 weeks. (0 being the least; 3 being the most) [I found it difficult to take the initiative to do things]","Please read each statement and select number 0, 1, 2 or 3 which indicates how much the statement applied to you over the past 3-4 weeks. (0 being the least; 3 being the most) [I felt that I had nothing to look forward to]","Please read each statement and select number 0, 1, 2 or 3 which indicates how much the statement applied to you over the past 3-4 weeks. (0 being the least; 3 being the most) [I felt down-hearted and blue]","Please read each statement and select number 0, 1, 2 or 3 which indicates how much the statement applied to you over the past 3-4 weeks. (0 being the least; 3 being the most) [I was unable to feel enthusiastic about anything]","Please read each statement and select number 0, 1, 2 or 3 which indicates how much the statement applied to you over the past 3-4 weeks. (0 being the least; 3 being the most) [I felt I wasn’t worth much as a person]","Please read each statement and select number 0, 1, 2 or 3 which indicates how much the statement applied to you over the past 3-4 weeks. (0 being the least; 3 being the most) [I felt that life was meaningless]","Please read each statement and select number 0, 1, 2 or 3 which indicates how much the statement applied to you over the past 3-4 weeks. (0 being the least; 3 being the most) [I found it hard to take things easily]","Please read each statement and select number 0, 1, 2 or 3 which indicates how much the statement applied to you over the past 3-4 weeks. (0 being the least; 3 being the most) [I tended to over-react to situations]","Please read each statement and select number 0, 1, 2 or 3 which indicates how much the statement applied to you over the past 3-4 weeks. (0 being the least; 3 being the most) [I felt that I was nervous ]","Please read each statement and select number 0, 1, 2 or 3 which indicates how much the statement applied to you over the past 3-4 weeks. (0 being the least; 3 being the most) [I found myself getting agitated]","Please read each statement and select number 0, 1, 2 or 3 which indicates how much the statement applied to you over the past 3-4 weeks. (0 being the least; 3 being the most) [I found it difficult to relax]","Please read each statement and select number 0, 1, 2 or 3 which indicates how much the statement applied to you over the past 3-4 weeks. (0 being the least; 3 being the most) [I was generally intolerant of things]","Please read each statement and select number 0, 1, 2 or 3 which indicates how much the statement applied to you over the past 3-4 weeks. (0 being the least; 3 being the most) [I felt unusually sensitive ]","During the past one month, which of the following have you experienced the most?"
"2021/05/22 7:08:38 PM GMT+5:30","Delhi","45+ years old","Male","Government Employee","3 or more","10 - 20 lakhs","Decreased slightly","No","Yes","Yes","Blood Pressure","Atleast 3 days a week","Small Impact","Ocassionally","Decreased slightly","Increased slightly","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","None"
"2021/05/22 7:10:23 PM GMT+5:30","Delhi","45+ years old","Male","Private Sector Employee","1","More than 20 lakhs","No change","No","No","Yes","No major health problem","Ocassionally","No Impact","Almost all the time/ Every day","Decreased slightly","No change","2","2","2","1","0","0","0","0","0","1","0","1","1","0","0","1","0","0","0","0","0","0","None"
"2021/05/22 7:10:44 PM GMT+5:30","Uttar Pradesh","18 - 25 years old","Female","Student","1","10 - 20 lakhs","Decreased slightly","Yes","No","No","No major health problem","Ocassionally","Considerable Impact","Atleast 3 days a week","No change","Increased slightly","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","None"
"2021/05/22 7:12:43 PM GMT+5:30","Uttarakhand","45+ years old","Male","Self Employed","2","10 - 20 lakhs","Decreased significantly","Yes","Yes","Yes","No major health problem","Atleast 3 days a week","Considerable Impact","Almost all the time/ Every day","Decreased slightly","Decreased slightly","4","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","2","1","1","1","None"
"2021/05/22 7:14:32 PM GMT+5:30","Maharashtra","45+ years old","Male","Private Sector Employee","2","More than 20 lakhs","Decreased slightly","Yes","No","No","Blood Pressure","Ocassionally","Small Impact","Atleast 3 days a week","Decreased slightly","Decreased slightly","3","0","0","1","0","0","0","1","1","0","0","0","0","0","0","1","1","0","1","1","1","1","Anxiety (feeling of worry, nervousness etc.)"
"2021/05/22 7:14:49 PM GMT+5:30","Uttarakhand","18 - 25 years old","Female","Unemployed","1","Less than 5 lakhs","Decreased significantly","Yes","No","No","No major health problem","Ocassionally","Considerable Impact","Almost all the time/ Every day","Increased slightly","Increased slightly","2","0","2","1","0","2","1","0","0","0","0","1","0","0","1","1","3","1","1","1","2","2","Stress (feeling of being overwhelmed, unable to cope with mental or emotional pressure etc.)"
"2021/05/22 7:15:47 PM GMT+5:30","Delhi","25 - 45 years old","Female","Private Sector Employee","2","10 - 20 lakhs","Decreased slightly","Yes","Yes","No","No major health problem","Not at all","Considerable Impact","Ocassionally","Increased significantly","Increased slightly","2","2","0","2","1","0","1","0","2","2","0","0","1","0","0","0","3","0","2","0","0","3","Stress (feeling of being overwhelmed, unable to cope with mental or emotional pressure etc.)"
"2021/05/22 7:15:56 PM GMT+5:30","Delhi","18 - 25 years old","Female","Unemployed","2","More than 20 lakhs","No change","No","Yes","Yes","No major health problem","Ocassionally","Considerable Impact","Ocassionally","No change","Increased slightly","2","1","1","0","0","0","2","0","1","3","3","3","3","2","2","2","2","2","2","2","1","2","Stress (feeling of being overwhelmed, unable to cope with mental or emotional pressure etc.)"
"2021/05/22 7:17:14 PM GMT+5:30","Uttar Pradesh","45+ years old","Male","Private Sector Employee","1","More than 20 lakhs","No change","Yes","No","Yes","Diabetes","Every day","Small Impact","Ocassionally","No change","No change","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","None"
"2021/05/22 7:18:35 PM GMT+5:30","Maharashtra","45+ years old","Male","Private Sector Employee","1","More than 20 lakhs","Decreased significantly","No","No","Yes","No major health problem","Every day","Considerable Impact","Ocassionally","No change","No change","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","None"
"2021/05/22 7:25:38 PM GMT+5:30","Rajasthan","25 - 45 years old","Male","Private Sector Employee","2","10 - 20 lakhs","No change","No","Yes","No","No major health problem","Ocassionally","Small Impact","Almost all the time/ Every day","Decreased slightly","Increased slightly","1","2","0","2","1","0","1","2","1","2","0","0","1","0","0","1","0","2","1","2","1","0","Stress (feeling of being overwhelmed, unable to cope with mental or emotional pressure etc.)"
"2021/05/22 7:26:21 PM GMT+5:30","Delhi","45+ years old","Male","Self Employed","2","More than 20 lakhs","Decreased slightly","No","No","Yes","Blood Pressure","Ocassionally","Small Impact","Almost all the time/ Every day","Decreased slightly","Increased slightly","1","2","0","0","0","0","0","0","2","2","1","0","2","0","0","1","1","1","1","1","1","1","Stress (feeling of being overwhelmed, unable to cope with mental or emotional pressure etc.)"
"2021/05/22 7:26:55 PM GMT+5:30","West Bengal","45+ years old","Male","Private Sector Employee","1","More than 20 lakhs","No change","No","Yes","Yes","No major health problem","Every day","Small Impact","Almost all the time/ Every day","No change","No change","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","None"
"2021/05/22 7:27:12 PM GMT+5:30","Delhi","45+ years old","Male","Private Sector Employee","2","5 - 10 lakhs","No change","No","No","Yes","Heart Disease","Atleast 3 days a week","Small Impact","Almost all the time/ Every day","Decreased slightly","No change","1","0","0","2","0","2","2","2","2","2","2","2","2","2","2","2","2","2","2","0","2","2","None"
"2021/05/22 7:27:41 PM GMT+5:30","Delhi","45+ years old","Female","Private Sector Employee","2","10 - 20 lakhs","Decreased significantly","No","Yes","Yes","No major health problem","Ocassionally","Considerable Impact","Atleast 3 days a week","Decreased slightly","Increased slightly","3","1","1","2","1","1","1","1","0","1","0","1","1","0","0","1","1","1","1","0","0","1","Anxiety (feeling of worry, nervousness etc.)"
"2021/05/22 7:27:56 PM GMT+5:30","Haryana","18 - 25 years old","Female","Student","1","Less than 5 lakhs","No change","No","Yes","No","No major health problem","Ocassionally","No Impact","Atleast 3 days a week","No change","Increased slightly","3","2","0","0","0","0","2","0","1","2","2","0","0","2","1","1","1","2","2","2","1","0","Depression (feeling of sadness, loss of interest etc.)"
"2021/05/22 7:28:01 PM GMT+5:30","Rajasthan","25 - 45 years old","Female","Private Sector Employee","2","10 - 20 lakhs","Decreased slightly","No","Yes","No","No major health problem","Ocassionally","Considerable Impact","Atleast 3 days a week","No change","Decreased significantly","3","2","0","2","0","2","1","2","1","1","0","0","0","0","1","3","3","2","3","3","2","2","Stress (feeling of being overwhelmed, unable to cope with mental or emotional pressure etc.)"
"2021/05/22 7:29:25 PM GMT+5:30","Maharashtra","25 - 45 years old","Male","Private Sector Employee","3 or more","More than 20 lakhs","No change","No","Yes","No","No major health problem","Every day","Major Impact","Ocassionally","Decreased slightly","Decreased significantly","1","1","1","0","1","0","0","1","3","1","0","1","2","0","1","2","0","3","2","3","1","1","Stress (feeling of being overwhelmed, unable to cope with mental or emotional pressure etc.)"
"2021/05/22 7:30:42 PM GMT+5:30","Delhi","18 - 25 years old","Male","Private Sector Employee","3 or more","10 - 20 lakhs","Decreased significantly","Yes","No","No","No major health problem","Ocassionally","Major Impact","No contact at all","Increased slightly","Increased slightly","3","1","0","0","0","0","1","1","2","2","3","1","3","3","3","1","2","1","2","3","2","1","Depression (feeling of sadness, loss of interest etc.)"
"2021/05/22 7:35:05 PM GMT+5:30","Delhi","45+ years old","Male","Government Employee","2","10 - 20 lakhs","No change","Yes","No","No","No major health problem","Every day","Small Impact","Atleast 3 days a week","Decreased slightly","Decreased slightly","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","Anxiety (feeling of worry, nervousness etc.)"
"2021/05/22 7:40:24 PM GMT+5:30","Uttar Pradesh","18 - 25 years old","Female","Private Sector Employee","3 or more","10 - 20 lakhs","Decreased slightly","Yes","No","Yes","No major health problem","Ocassionally","Major Impact","Atleast 3 days a week","Increased slightly","Decreased slightly","2","3","2","0","0","0","2","1","1","2","3","2","2","1","3","3","2","1","1","3","1","1","Anxiety (feeling of worry, nervousness etc.)"
"2021/05/22 7:40:41 PM GMT+5:30","Uttar Pradesh","18 - 25 years old","Female","Student","2","5 - 10 lakhs","Decreased slightly","Yes","No","Yes","No major health problem","Not at all","Small Impact","Atleast 3 days a week","Decreased slightly","Increased slightly","3","1","0","0","0","0","1","1","1","1","1","0","1","0","1","0","0","1","1","0","1","1","None"
"2021/05/22 7:41:06 PM GMT+5:30","Uttar Pradesh","25 - 45 years old","Female","Homemaker","1","10 - 20 lakhs","Decreased slightly","No","Yes","No","Blood Pressure","Not at all","Considerable Impact","Ocassionally","No change","Decreased slightly","4","2","1","1","0","0","1","0","1","0","1","1","1","1","1","2","2","1","1","2","1","1","None"
"2021/05/22 7:41:51 PM GMT+5:30","Punjab","25 - 45 years old","Male","Private Sector Employee","1","5 - 10 lakhs","No change","No","No","No","Diabetes","Every day","Considerable Impact","Almost all the time/ Every day","Decreased slightly","No change","1","0","0","1","0","0","1","0","1","1","1","0","0","1","0","0","0","0","0","1","0","0","Stress (feeling of being overwhelmed, unable to cope with mental or emotional pressure etc.)"
"2021/05/22 7:42:07 PM GMT+5:30","Jammu and Kashmir","25 - 45 years old","Female","Private Sector Employee","2","Less than 5 lakhs","Decreased significantly","No","No","Yes","No major health problem","Atleast 3 days a week","Major Impact","Atleast 3 days a week","Decreased slightly","Decreased significantly","2","3","3","1","1","0","3","0","2","3","3","3","3","3","3","2","2","3","3","1","1","2","Anxiety (feeling of worry, nervousness etc.)"
"2021/05/22 7:44:11 PM GMT+5:30","Maharashtra","25 - 45 years old","Female","Private Sector Employee","2","More than 20 lakhs","Increased slighltly","Yes","No","No","No major health problem","Not at all","Considerable Impact","Atleast 3 days a week","Increased slightly","Decreased slightly","4","1","0","0","0","0","1","0","1","1","1","1","1","1","0","1","2","1","1","1","1","2","Stress (feeling of being overwhelmed, unable to cope with mental or emotional pressure etc.)"
"2021/05/22 7:45:31 PM GMT+5:30","Uttar Pradesh","45+ years old","Female","Homemaker","3 or more","10 - 20 lakhs","No change","Yes","Yes","No","No major health problem","Ocassionally","No Impact","Almost all the time/ Every day","No change","No change","5","0","0","1","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","None"
"2021/05/22 7:45:49 PM GMT+5:30","Himachal Pradesh","25 - 45 years old","Male","Self Employed","1","Less than 5 lakhs","Decreased significantly","Yes","No","Yes","No major health problem","Atleast 3 days a week","Major Impact","Ocassionally","Decreased slightly","Increased slightly","3","1","0","0","0","0","0","0","0","0","2","0","1","0","1","2","0","0","0","1","0","0","None"
"2021/05/22 7:51:06 PM GMT+5:30","Delhi","18 - 25 years old","Female","Student","3 or more","More than 20 lakhs","Decreased significantly","No","Yes","No","No major health problem","Atleast 3 days a week","Considerable Impact","Ocassionally","No change","Increased slightly","1","3","1","0","0","0","3","1","2","3","3","2","2","2","3","2","3","3","3","2","0","2","Anxiety (feeling of worry, nervousness etc.)"
"2021/05/22 7:56:51 PM GMT+5:30","Delhi","16 - 18 years old","Male","Student","3 or more","More than 20 lakhs","No change","No","No","No","No major health problem","Ocassionally","Small Impact","Ocassionally","No change","Decreased significantly","1","2","1","0","0","0","1","0","2","2","2","2","2","2","2","2","2","2","0","2","2","1","Depression (feeling of sadness, loss of interest etc.)"
"2021/05/22 7:58:07 PM GMT+5:30","Delhi","16 - 18 years old","Female","Student","1","5 - 10 lakhs","Decreased slightly","No","No","No","No major health problem","Atleast 3 days a week","Small Impact","Ocassionally","Increased slightly","No change","3","0","0","0","0","1","1","0","0","2","1","1","2","0","0","1","2","2","1","0","2","1","Stress (feeling of being overwhelmed, unable to cope with mental or emotional pressure etc.)"
"2021/05/22 7:59:24 PM GMT+5:30","Haryana","45+ years old","Female","Private Sector Employee","2","10 - 20 lakhs","No change","No","No","Yes","No major health problem","Not at all","Small Impact","Almost all the time/ Every day","Increased slightly","No change","3","1","0","0","0","0","0","0","1","1","1","1","2","1","1","2","1","1","1","1","1","1","Stress (feeling of being overwhelmed, unable to cope with mental or emotional pressure etc.)"
"2021/05/22 8:00:10 PM GMT+5:30","Delhi","18 - 25 years old","Male","Student","1","Less than 5 lakhs","Decreased significantly","No","Yes","No","No major health problem","Atleast 3 days a week","Considerable Impact","Atleast 3 days a week","Increased slightly","No change","3","1","0","0","1","0","2","1","1","2","1","0","2","2","2","1","2","2","1","1","1","3","Depression (feeling of sadness, loss of interest etc.)"
"2021/05/22 8:06:31 PM GMT+5:30","Uttar Pradesh","18 - 25 years old","Male","Private Sector Employee","2","Less than 5 lakhs","Decreased significantly","No","Yes","No","No major health problem","Ocassionally","Small Impact","Almost all the time/ Every day","Increased slightly","Decreased slightly","3","0","1","2","0","0","1","3","1","1","1","0","0","0","0","1","2","1","0","0","2","1","Anxiety (feeling of worry, nervousness etc.)"
"2021/05/22 8:07:13 PM GMT+5:30","Delhi","25 - 45 years old","Female","Private Sector Employee","3 or more","10 - 20 lakhs","Decreased slightly","Yes","Yes","Yes","No major health problem","Atleast 3 days a week","Considerable Impact","Ocassionally","Decreased slightly","No change","2","1","0","0","0","0","1","2","0","1","0","0","0","1","0","0","1","0","0","0","0","0","None"
"2021/05/22 8:07:27 PM GMT+5:30","Delhi","16 - 18 years old","Female","Student","1","Less than 5 lakhs","Decreased slightly","No","No","No","No major health problem","Every day","Considerable Impact","Almost all the time/ Every day","Increased significantly","Increased slightly","4","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","2","1","2","1","Anxiety (feeling of worry, nervousness etc.)"
"2021/05/22 8:11:17 PM GMT+5:30","Uttar Pradesh","25 - 45 years old","Male","Unemployed","2","10 - 20 lakhs","Decreased significantly","Yes","Yes","Yes","No major health problem","Ocassionally","Major Impact","Ocassionally","Decreased slightly","Increased slightly","1","2","3","3","3","2","0","2","3","2","3","2","2","1","2","1","2","2","2","3","2","1","Anxiety (feeling of worry, nervousness etc.)"
"2021/05/22 8:13:06 PM GMT+5:30","Uttar Pradesh","18 - 25 years old","Male","Private Sector Employee","2","5 - 10 lakhs","Decreased significantly","Yes","No","Yes","No major health problem","Every day","Small Impact","Ocassionally","Increased slightly","Decreased slightly","3","1","2","0","0","0","2","0","2","2","2","1","2","1","1","2","2","2","2","1","1","1","None"
"2021/05/22 8:14:27 PM GMT+5:30","Uttar Pradesh","45+ years old","Female","Homemaker","1","Less than 5 lakhs","Decreased significantly","No","No","Yes","No major health problem","Ocassionally","Small Impact","Ocassionally","No change","Increased slightly","3","1","1","0","0","0","0","0","1","1","1","1","1","1","1","1","0","1","0","1","1","1","Anxiety (feeling of worry, nervousness etc.)"
"2021/05/22 8:14:37 PM GMT+5:30","Haryana","45+ years old","Male","Private Sector Employee","3 or more","More than 20 lakhs","Decreased slightly","Yes","Yes","Yes","No major health problem","Ocassionally","Small Impact","Almost all the time/ Every day","Decreased slightly","Decreased slightly","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","None"
"2021/05/22 8:16:22 PM GMT+5:30","Delhi","45+ years old","Male","Private Sector Employee","2","5 - 10 lakhs","No change","Yes","Yes","Yes","Diabetes","Atleast 3 days a week","Small Impact","Ocassionally","Increased significantly","Decreased slightly","2","3","2","2","1","1","3","1","2","2","2","2","3","3","3","3","2","2","2","2","1","1","Depression (feeling of sadness, loss of interest etc.)"
"2021/05/22 8:17:07 PM GMT+5:30","Uttar Pradesh","18 - 25 years old","Male","Private Sector Employee","1","5 - 10 lakhs","Decreased significantly","No","No","No","No major health problem","Atleast 3 days a week","Considerable Impact","Ocassionally","Increased slightly","No change","4","1","0","0","0","0","1","0","1","2","1","1","1","0","2","1","1","0","1","0","0","0","Anxiety (feeling of worry, nervousness etc.)"
"2021/05/22 8:17:38 PM GMT+5:30","Maharashtra","45+ years old","Male","Private Sector Employee","1","10 - 20 lakhs","Increased slighltly","Yes","No","Yes","No major health problem","Every day","No Impact","Atleast 3 days a week","No change","No change","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","None"
"2021/05/22 8:20:30 PM GMT+5:30","Delhi","18 - 25 years old","Male","Student","3 or more","5 - 10 lakhs","No change","Yes","No","Yes","No major health problem","Every day","Small Impact","Atleast 3 days a week","No change","Increased slightly","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","None"
"2021/05/22 8:23:35 PM GMT+5:30","Delhi","18 - 25 years old","Male","Private Sector Employee","3 or more","Less than 5 lakhs","No change","No","Yes","No","No major health problem","Atleast 3 days a week","Small Impact","Ocassionally","Decreased significantly","Increased sigificantly","1","1","0","1","0","3","0","0","0","2","1","0","2","0","0","0","1","1","1","1","1","1","Stress (feeling of being overwhelmed, unable to cope with mental or emotional pressure etc.)"
"2021/05/22 8:23:38 PM GMT+5:30","Delhi","18 - 25 years old","Male","Student","1","5 - 10 lakhs","No change","Yes","Yes","No","No major health problem","Ocassionally","Major Impact","Ocassionally","No change","Increased slightly","2","0","0","0","0","0","2","1","1","2","1","2","2","1","1","1","1","1","1","0","0","1","None"
"2021/05/22 8:26:43 PM GMT+5:30","Haryana","45+ years old","Male","Self Employed","1","Less than 5 lakhs","Decreased significantly","Yes","Yes","Yes","Blood Pressure","Not at all","Small Impact","Ocassionally","No change","Decreased slightly","2","2","2","1","1","2","1","2","2","2","2","2","2","2","2","2","2","1","2","2","2","2","None"
"2021/05/22 8:27:08 PM GMT+5:30","Rajasthan","16 - 18 years old","Female","Student","1","Less than 5 lakhs","Decreased significantly","No","Yes","No","No major health problem","Ocassionally","Major Impact","Atleast 3 days a week","Increased significantly","Increased sigificantly","4","0","3","0","0","0","0","0","1","2","3","0","1","2","3","1","0","0","0","1","1","1","Stress (feeling of being overwhelmed, unable to cope with mental or emotional pressure etc.)"
"2021/05/22 8:30:03 PM GMT+5:30","Delhi","45+ years old","Male","Self Employed","3 or more","More than 20 lakhs","Decreased slightly","Yes","Yes","Yes","No major health problem","Every day","Small Impact","Ocassionally","Decreased slightly","No change","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","None"
"2021/05/22 8:31:10 PM GMT+5:30","Gujarat","18 - 25 years old","Male","Student","3 or more","10 - 20 lakhs","No change","No","Yes","No","No major health problem","Ocassionally","Major Impact","Ocassionally","Increased slightly","No change","2","1","2","0","1","0","1","1","2","3","2","2","2","2","1","2","1","2","2","2","1","1","Depression (feeling of sadness, loss of interest etc.)"
"2021/05/22 8:35:23 PM GMT+5:30","Haryana","25 - 45 years old","Male","Private Sector Employee","1","5 - 10 lakhs","No change","Yes","Yes","No","No major health problem","Atleast 3 days a week","Considerable Impact","Almost all the time/ Every day","Increased slightly","Decreased slightly","3","3","1","0","0","0","1","2","2","1","1","0","0","0","0","0","1","1","1","0","0","0","Depression (feeling of sadness, loss of interest etc.)"
"2021/05/22 8:35:44 PM GMT+5:30","Delhi","25 - 45 years old","Male","Self Employed","3 or more","More than 20 lakhs","Decreased significantly","Yes","Yes","No","No major health problem","Ocassionally","Small Impact","Ocassionally","Decreased slightly","No change","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","Anxiety (feeling of worry, nervousness etc.)"
"2021/05/22 8:38:47 PM GMT+5:30","Haryana","45+ years old","Male","Self Employed","2","More than 20 lakhs","Decreased slightly","Yes","No","Yes","No major health problem","Every day","Considerable Impact","Atleast 3 days a week","No change","Decreased slightly","3","2","1","0","0","0","0","0","1","1","1","0","1","1","1","1","1","1","1","1","1","1","Anxiety (feeling of worry, nervousness etc.)"
"2021/05/22 8:39:53 PM GMT+5:30","Delhi","45+ years old","Female","Private Sector Employee","2","10 - 20 lakhs","No change","No","Yes","Yes","No major health problem","Ocassionally","Considerable Impact","Atleast 3 days a week","No change","Decreased slightly","3","3","3","2","2","2","1","2","0","0","1","1","1","0","1","0","0","1","0","2","1","1","Stress (feeling of being overwhelmed, unable to cope with mental or emotional pressure etc.)"
"2021/05/22 8:45:22 PM GMT+5:30","Uttarakhand","25 - 45 years old","Female","Private Sector Employee","3 or more","More than 20 lakhs","Decreased slightly","No","Yes","No","No major health problem","Not at all","Major Impact","Ocassionally","Increased significantly","Increased slightly","1","2","1","1","0","0","0","1","0","1","0","1","1","1","1","1","2","2","3","2","2","2","Stress (feeling of being overwhelmed, unable to cope with mental or emotional pressure etc.)"
"2021/05/22 8:50:45 PM GMT+5:30","Delhi","45+ years old","Female","Homemaker","2","5 - 10 lakhs","Decreased slightly","Yes","Yes","Yes","Blood Pressure","Ocassionally","Considerable Impact","Almost all the time/ Every day","No change","Decreased slightly","3","2","1","2","0","2","1","0","2","1","1","1","2","0","1","1","0","1","1","2","1","1","Stress (feeling of being overwhelmed, unable to cope with mental or emotional pressure etc.)"
"2021/05/22 8:56:36 PM GMT+5:30","Maharashtra","45+ years old","Male","Private Sector Employee","3 or more","More than 20 lakhs","Increased slighltly","No","No","Yes","No major health problem","Every day","Small Impact","Almost all the time/ Every day","No change","No change","1","0","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","1","0","0","1","None"
"2021/05/22 8:57:51 PM GMT+5:30","Maharashtra","45+ years old","Male","Private Sector Employee","3 or more","More than 20 lakhs","Increased slighltly","No","No","Yes","No major health problem","Every day","Small Impact","Almost all the time/ Every day","No change","No change","1","0","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","1","0","0","1","None"
"2021/05/22 8:58:47 PM GMT+5:30","Delhi","45+ years old","Male","Government Employee","1","5 - 10 lakhs","No change","Yes","Yes","No","Blood Pressure","Ocassionally","Considerable Impact","Ocassionally","Decreased slightly","Decreased significantly","3","2","1","2","1","1","1","1","1","2","2","1","2","1","1","1","1","1","1","1","1","1","Anxiety (feeling of worry, nervousness etc.)"
"2021/05/22 9:01:37 PM GMT+5:30","Rajasthan","16 - 18 years old","Female","Student","1","Less than 5 lakhs","No change","Yes","Yes","No","No major health problem","Not at all","Considerable Impact","Ocassionally","Increased slightly","Increased sigificantly","1","2","3","3","2","3","3","2","3","3","3","3","3","2","1","3","1","2","1","2","2","1","Stress (feeling of being overwhelmed, unable to cope with mental or emotional pressure etc.)"
"2021/05/22 9:10:38 PM GMT+5:30","Rajasthan","18 - 25 years old","Female","Student","1","5 - 10 lakhs","Decreased significantly","No","Yes","No","No major health problem","Atleast 3 days a week","Major Impact","Atleast 3 days a week","Decreased slightly","Decreased significantly","3","1","2","2","2","2","1","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","Depression (feeling of sadness, loss of interest etc.)"
"2021/05/22 9:11:01 PM GMT+5:30","Haryana","45+ years old","Male","Self Employed","1","Less than 5 lakhs","Decreased significantly","No","No","Yes","No major health problem","Ocassionally","Small Impact","Atleast 3 days a week","Decreased significantly","Increased sigificantly","3","1","0","0","0","0","0","0","2","2","2","0","2","2","2","0","0","2","0","0","0","0","Depression (feeling of sadness, loss of interest etc.)"
"2021/05/22 9:12:45 PM GMT+5:30","Delhi","18 - 25 years old","Male","Private Sector Employee","2","More than 20 lakhs","No change","No","Yes","Yes","No major health problem","Ocassionally","Major Impact","Almost all the time/ Every day","Increased significantly","No change","5","0","2","0","0","0","0","0","0","1","1","1","1","0","0","0","0","1","1","0","1","0","Anxiety (feeling of worry, nervousness etc.)"
"2021/05/22 9:19:25 PM GMT+5:30","Delhi","18 - 25 years old","Male","Government Employee","2","5 - 10 lakhs","No change","No","No","No","No major health problem","Not at all","Considerable Impact","Ocassionally","Decreased slightly","Decreased slightly","4","3","2","3","2","0","3","3","2","2","2","2","2","2","2","3","3","3","3","2","3","3","Depression (feeling of sadness, loss of interest etc.)"
"2021/05/22 9:25:28 PM GMT+5:30","Delhi","45+ years old","Male","Self Employed","1","10 - 20 lakhs","No change","No","No","Yes","No major health problem","Every day","No Impact","Almost all the time/ Every day","Increased slightly","Increased slightly","2","0","0","0","0","0","0","1","1","1","0","1","1","0","0","2","2","1","1","1","1","1","Stress (feeling of being overwhelmed, unable to cope with mental or emotional pressure etc.)"
"2021/05/22 9:28:59 PM GMT+5:30","Rajasthan","25 - 45 years old","Female","Private Sector Employee","2","Less than 5 lakhs","Decreased slightly","No","Yes","No","No major health problem","Atleast 3 days a week","Considerable Impact","Almost all the time/ Every day","Increased significantly","No change","3","1","0","1","0","0","0","0","1","1","0","1","1","0","0","1","2","1","1","1","0","2","Anxiety (feeling of worry, nervousness etc.)"
